source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	ar	HP:0008780	rdfs:label	Congenital bilateral hip dislocation	خلع خلقي مزدوج لمفصل الورك	OFFICIAL
en	ar	HP:0008783	rdfs:label	Wide proximal femoral metaphysis	اتساع المشاشة القريبة للفخذ	CANDIDATE
en	ar	HP:0008783	IAO:0000115	Increased width of the proximal part of the shaft (metaphysis) of the femur.	زيادة في عرض الجزء القريب من جسم عظمة الفخذ (المشاشة).	CANDIDATE
en	ar	HP:0008784	rdfs:label	Wide capital femoral epiphyses	وسع في رأس مشاشة عظم الفخذ	OFFICIAL
en	ar	HP:0008784	IAO:0000115	Abnormally wide morphology of the proximal epiphysis of the femur.	تشوه عريض بشكل غير طبيعي في المشاشة القريبة من عظم الفخذ.	OFFICIAL
en	ar	HP:0008785	rdfs:label	Delayed ossification of pubic rami	تأخر التعظم في فروع العانة	OFFICIAL
en	ar	HP:0008785	IAO:0000115	Delayed maturation and calcification of the rami (branches) of the pubic bone.	تأخر في نضوج وتكلس الفروع (الفروع) في عظم العانة.	OFFICIAL
en	ar	HP:0008786	rdfs:label	Iliac crest serration	تعرجات قمة الحرقفة	OFFICIAL
en	ar	HP:0008786	IAO:0000115	Irregularities of the iliac crest that produce the appearance of a lace border around it.	عدم انتظام في قمة الحرقفة ينتج عنه شكل محيط يشبه الدانتيل.	OFFICIAL
en	ar	HP:0008788	rdfs:label	Delayed pubic bone ossification	تأخر التعظم في عظم العانة	OFFICIAL
en	ar	HP:0008788	IAO:0000115	Delayed maturation and calcification of the pubic bone.	تأخر في نضوج وتكلس عظم العانة.	OFFICIAL
en	ar	HP:0008789	rdfs:label	Cone-shaped capital femoral epiphysis	شكل مخروطي في رأس مشاشة عظم الفخذ	OFFICIAL
en	ar	HP:0008789	IAO:0000115	A cone-shaped deformity of the proximal epiphysis of the femur.	تشوه على شكل مخروط في المشاشة القريبة من عظم الفخذ.	OFFICIAL
en	ar	HP:0008762	rdfs:label	Repetitive compulsive behavior	سلوك قهري متكرر	OFFICIAL
en	ar	HP:0008763	rdfs:label	No social interaction	عدم التفاعل الاجتماعي	OFFICIAL
en	ar	HP:0008763	IAO:0000115	Lack of intentional participation in interactions with another person.	عدم المشاركة المتعمدة في التفاعلات مع الآخرين.	OFFICIAL
en	ar	HP:0008765	rdfs:label	Auditory hallucination	هلوسة سمعية	OFFICIAL
en	ar	HP:0008765	IAO:0000115	Perception of sounds without auditory stimulus.	إدراك الأصوات دون وجود محفز سمعي.	OFFICIAL
en	ar	HP:0008767	rdfs:label	Self-mutilation of tongue and lips due to involuntary movements	تشويه ذاتي للسان والشفاه بسبب حركات غير إرادية	OFFICIAL
en	ar	HP:0008767	IAO:0000115	Uncontrolled movements result in tissue damage to the tongue and lips.	تؤدي الحركات غير المسيطر عليها إلى تلف الأنسجة في اللسان والشفاه.	OFFICIAL
en	ar	HP:0008770	rdfs:label	Obsessive-compulsive trait	سمة الوسواس القهري	OFFICIAL
